#{"t_start": 1657820044.003312, "env_id": "Ur5eReach-v0"}
r,l,t
-0.66864,2,17.275162
-0.761202,1,31.167651
-1.173788,3,45.46309
-1.654445,3,68.780971
-1.543153,3,92.603477
-1.591039,4,125.465481
-1.080179,2,142.682798
-1.128758,2,161.259974
-0.900267,2,183.902622
-1.184937,3,211.985752
-1.658741,3,239.876952
-1.427211,3,259.291752
-1.040779,2,279.580133
-0.75516,1,293.233075
-0.861361,1,299.334294
-0.757389,1,310.443166
-0.757395,1,316.565907
-1.577185,2,327.496089
-1.041284,2,345.032118
-1.259693,2,365.849591
-0.743787,2,390.215511
-1.257491,2,408.390614
-1.394291,3,430.320793
-0.769656,2,446.412885
-1.100792,3,468.264966
-1.379075,2,491.757722
-0.751447,1,503.313812
-0.859688,1,508.758655
-0.423677,2,527.142469
-0.822119,2,544.511369
-1.905971,3,568.28935
-1.300532,2,591.132885
-1.533773,3,616.861503
-1.050902,2,629.819688
-1.375175,2,649.733472
-0.755148,1,662.047242
-0.789664,2,677.65252
-0.859677,1,688.744094
-0.896925,1,699.230613
-0.789291,1,710.250346
-1.228958,2,727.542272
-1.081777,2,746.609303
-0.377758,2,762.261869
-0.827531,1,771.769843
-0.735135,1,781.433201
-0.919064,1,804.129062
-1.143296,2,832.216362
-1.320965,2,852.624759
-1.001896,1,862.245223
-1.365333,2,883.625243
-1.624144,2,903.941844
-0.783783,1,913.113652
-1.173091,2,930.714103
-0.963972,2,947.687659
-0.779204,1,958.868884
-1.092297,2,986.453453
-1.019952,2,1007.81407
-0.756099,1,1018.286607
-1.242531,2,1030.807802
-0.800404,1,1042.458011
-1.51303,2,1061.062905
-1.00177,2,1076.630565
-0.69066,2,1096.320235
-1.438481,2,1116.969945
-1.237815,2,1137.696161
-1.335425,2,1153.788716
-0.753682,1,1163.923023
-1.996291,3,1176.566203
-1.680535,4,1213.827758
-1.44624,3,1236.243776
-0.752288,1,1247.960618
-2.178589,3,1277.284703
-1.276984,2,1304.142077
-2.046465,3,1334.462733
-1.104228,3,1377.475302
-1.191212,2,1393.059907
-0.684736,2,1414.03931
-1.05793,2,1431.269343
-0.754871,1,1442.903965
-1.152131,3,1467.853851
-0.972484,3,1492.992571
-1.178323,3,1520.452418
-0.992387,2,1537.218209
-1.737599,4,1570.811343
-0.776113,1,1582.419692
-1.038773,2,1600.480782
-0.864792,2,1622.336505
-0.756718,1,1633.887695
-0.800309,3,1656.113478
-1.420025,2,1678.294895
-2.141916,3,1702.679565
-1.495655,4,1737.41911
-1.472195,2,1755.226427
-0.645457,2,1774.774463
