#{"t_start": 1658166201.5768535, "env_id": "Pusher-v0"}
r,l,t
-0.073115,1,2361.301306
-0.08604,1,2374.863765
-0.149998,1,2388.320062
-0.099023,1,2398.700062
-0.022723,1,2403.819009
-0.078261,1,2416.848564
-0.058605,1,2424.462472
-0.043394,1,2434.876741
-0.013704,1,2445.707208
-0.024183,1,2461.02223
-0.004972,1,2470.464383
-0.047248,1,2475.814997
-0.104838,1,2488.806865
-0.048888,1,2498.216926
-0.06059,1,2507.929968
-0.002197,1,2519.109386
-0.071712,1,2530.827211
-0.004169,1,2541.328025
-0.073103,1,2556.442904
-0.118507,1,2569.791334
-0.008862,1,2580.678932
-0.131676,1,2592.09675
-0.014093,1,2600.725554
-0.105125,1,2619.040736
-0.090124,1,2626.999462
-0.029093,1,2635.935604
-0.015623,1,2647.972097
-0.057069,1,2659.00507
-0.034252,1,2669.155009
-0.007535,1,2685.139405
-0.136656,1,2694.921053
-0.081272,1,2705.33635
-0.09148,1,2717.21948
-0.150008,1,2729.189184
-0.084111,1,2737.180315
-0.150008,1,2748.866258
-0.101297,1,2757.330905
-0.149999,1,2764.710236
-0.051983,1,2773.88568
-0.021447,1,2783.319384
-0.111714,1,2794.068762
-0.0127,1,2807.950316
-0.060473,1,2821.772199
-0.012025,1,2832.199318
-0.032581,1,2845.493513
-0.038179,1,2853.36679
-0.021421,1,2863.927619
-0.014198,1,2874.640966
-0.067321,1,2883.853961
-0.055079,1,2892.700441
-0.020972,1,2897.972841
-0.013554,1,2906.908376
-0.028556,1,2918.82882
-0.044175,1,2934.072784
-0.062956,1,2945.314829
-0.042465,1,2957.510322
-0.053892,1,2974.69957
-0.081036,1,2983.398941
-0.086618,1,2992.260282
-0.11003,1,3003.341035
-0.031344,1,3014.335011
-0.067717,1,3022.983076
-0.041403,1,3033.487387
-0.070687,1,3039.615475
-0.141653,1,3044.591978
-0.016462,1,3056.870308
-0.10346,1,3071.951045
-0.099673,1,3082.598506
-0.071081,1,3096.754348
-0.141565,1,3105.140575
-0.083469,1,3116.252614
-0.134305,1,3125.895684
-0.03191,1,3134.2827
-0.037258,1,3147.343662
-0.081881,1,3159.865941
-0.02943,1,3171.690403
-0.065013,1,3180.252748
-0.01892,1,3189.282918
-0.088869,1,3203.302599
-0.046287,1,3216.976412
-0.073717,1,3224.652059
-0.068413,1,3236.335459
-0.065451,1,3251.020848
-0.082357,1,3261.328953
-0.017292,1,3273.320753
-0.104139,1,3283.29223
-0.058225,1,3293.403443
-0.11471,1,3301.25359
-0.057735,1,3309.581051
-0.008314,1,3322.486213
-0.149505,1,3330.692244
-0.0243,1,3341.0704
-0.074204,1,3352.55245
-0.108637,1,3363.621135
-0.093357,1,3371.456776
-0.011541,1,3382.778514
-0.045298,1,3391.065843
-0.06068,1,3399.526225
-0.041488,1,3411.849499
-0.14932,1,3420.491958
-0.012706,1,3431.495421
-0.137806,1,3442.095828
-0.029868,1,3450.765718
-0.010884,1,3455.421617
-0.058977,1,3464.548699
-0.038314,1,3470.573954
-0.0475,1,3478.640613
-0.067814,1,3489.460954
-0.020742,1,3498.819464
-0.064509,1,3512.140528
-0.022336,1,3524.301697
-0.069665,1,3533.561456
-0.11256,1,3545.440621
-0.094205,1,3557.217447
-0.119389,1,3569.005163
-0.120441,1,3584.756162
-0.093511,1,3595.989256
-0.097066,1,3607.986879
-0.063968,1,3618.210591
-0.140888,1,3625.564345
-0.038192,1,3633.722651
-0.078946,1,3642.587549
-0.023158,1,3653.374971
-0.058579,1,3664.02385
-0.13651,1,3668.155303
-0.137439,1,3676.293195
-0.074208,1,3690.434913
-0.065541,1,3703.275009
-0.047951,1,3713.779726
-0.149723,1,3721.919347
-0.016141,1,3733.439527
-0.000599,1,3742.183524
-0.06492,1,3752.332531
-0.048407,1,3762.384149
-0.014219,1,3773.231153
-0.127099,1,3784.955943
-0.03276,1,3799.211243
-0.15001,1,3808.640945
-0.068363,1,3819.476979
-0.029725,1,3829.415645
-0.063216,1,3836.932763
-0.068185,1,3849.23863
-0.119549,1,3861.482871
-0.048886,1,3873.609022
-0.020756,1,3882.932369
-0.016705,1,3896.850577
-0.053075,1,3907.70479
-0.037465,1,3913.042213
-0.14976,1,3922.585141
-0.081506,1,3935.743844
-0.129062,1,3945.63079
-0.110095,1,3955.600446
-0.143058,1,3965.477383
-0.01155,1,3975.899034
-0.058075,1,3986.055228
-0.032878,1,3994.075753
-0.012836,1,4006.722958
-0.010742,1,4018.646795
-0.030658,1,4029.422563
-0.091847,1,4038.957105
-0.047539,1,4047.681278
-0.095588,1,4057.871333
-0.061839,1,4066.530229
-0.00489,1,4082.204834
-0.031654,1,4091.415699
-0.124633,1,4095.76686
-0.110219,1,4105.558931
-0.079073,1,4120.120206
-0.014048,1,4134.140337
-0.01961,1,4145.354035
-0.114113,1,4153.199146
-0.136615,1,4163.881217
-0.087739,1,4176.68277
-0.013545,1,4181.123492
-0.149999,1,4189.091392
-0.105721,1,4197.559511
-0.065389,1,4206.653052
-0.038846,1,4214.934777
-0.014511,1,4227.026214
-0.069097,1,4240.280204
-0.077182,1,4249.250515
-0.006113,1,4261.932869
-0.001543,1,4271.32317
-0.149999,1,4281.102494
-0.00926,1,4293.014939
-0.068328,1,4301.865554
-0.070545,1,4310.042579
-0.15,1,4317.76006
-0.013279,1,4330.102602
-0.148055,1,4338.421102
-0.08271,1,4349.883326
-0.09396,1,4354.334066
-0.096597,1,4365.533453
-0.104175,1,4377.649786
-0.063219,1,4388.481
-0.077858,1,4400.469534
-0.068174,1,4406.350701
-0.146756,1,4416.65122
-0.150001,1,4426.707517
-0.090346,1,4438.205764
-0.04105,1,4446.509179
-0.137922,1,4454.933931
-0.132452,1,4467.618392
-0.111372,1,4475.602985
-0.026433,1,4485.859804
-0.054109,1,4497.219147
-0.071478,1,4505.85899
-0.069846,1,4516.736284
-0.070378,1,4532.332364
-0.029813,1,4541.879252
-0.01672,1,4552.47061
-0.001008,1,4564.36651
-0.118219,1,4574.250339
-0.122417,1,4582.391263
-0.057375,1,4593.380016
-0.031456,1,4603.595835
-0.090565,1,4619.411935
-0.112769,1,4627.436382
-0.014839,1,4645.426394
-0.073512,1,4655.02477
-0.149998,1,4663.648898
-0.026502,1,4672.21243
-0.001196,1,4681.610437
-0.038388,1,4694.471826
-0.062449,1,4703.5588
-0.102451,1,4712.367199
-0.013664,1,4724.042705
-0.067887,1,4729.033692
-0.150003,1,4739.106293
-0.067618,1,4752.896378
-0.118109,1,4762.858633
-0.046327,1,4772.100724
-0.05156,1,4784.160173
-0.062081,1,4793.301111
-0.092451,1,4807.667591
-0.045476,1,4822.2498
-0.147582,1,4829.390566
-0.133504,1,4839.491796
-0.071374,1,4843.20287
-0.01651,1,4853.513269
-0.010067,1,4861.305468
-0.07087,1,4870.089171
-0.054879,1,4880.686373
-0.092811,1,4892.147837
-0.028377,1,4903.16051
-0.011738,1,4915.972893
-0.072186,1,4926.599298
-0.105975,1,4936.057108
-0.050253,1,4947.501648
-0.055532,1,4957.800606
-0.067235,1,4963.427188
-0.00796,1,4976.288705
-0.083239,1,4986.076512
-0.043452,1,4997.602789
-0.150004,1,5009.932999
-0.110783,1,5021.581082
-0.001391,1,5031.914863
-0.086389,1,5040.944648
-0.038768,1,5054.553173
-0.002594,1,5064.24802
-0.102527,1,5075.230202
-0.149999,1,5082.938641
-0.054628,1,5093.891236
-0.005955,1,5104.788359
-0.005059,1,5114.746598
-0.071219,1,5123.268869
-0.001539,1,5131.238285
-0.032236,1,5136.29419
-0.085564,1,5149.594471
-0.065916,1,5158.29745
-0.053181,1,5167.681079
-0.116183,1,5176.432642
-0.109291,1,5186.62297
-0.046948,1,5198.896014
-0.1265,1,5209.397505
-0.038681,1,5222.014277
-0.150012,1,5233.48698
-0.121189,1,5246.169683
-0.028619,1,5255.014064
-0.10946,1,5266.522887
-0.018659,1,5277.835072
-0.115959,1,5287.251234
-0.026462,1,5299.50484
-0.043528,1,5309.723751
-0.070288,1,5318.551864
-0.150004,1,5328.735575
-0.009765,1,5341.936298
-0.097723,1,5354.806745
-0.075798,1,5369.743337
-0.149999,1,5380.961499
-0.088479,1,5389.709038
-0.09459,1,5401.10781
-0.061844,1,5412.127605
-0.142011,1,5424.148562
-0.045713,1,5435.092359
-0.085767,1,5451.62329
-0.002641,1,5464.363569
-0.150012,1,5474.11935
-0.035243,1,5483.063131
-0.07631,1,5494.247424
-0.150006,1,5505.242386
-0.033687,1,5518.931312
-0.15001,1,5526.497689
-0.003781,1,5537.580517
-0.114959,1,5549.341656
-0.080125,1,5558.043914
-0.090078,1,5567.898567
-0.02524,1,5576.954437
-0.111077,1,5584.888034
-0.094036,1,5594.852065
-0.016345,1,5605.943338
-0.006731,1,5617.89166
-0.073057,1,5627.049329
-0.028587,1,5634.947062
-0.094092,1,5643.665495
-0.031993,1,5652.839159
-0.03979,1,5661.738533
-0.080861,1,5669.766228
-0.047469,1,5680.55317
-0.02692,1,5688.42211
-0.006922,1,5701.070846
-0.046752,1,5711.58935
-0.111549,1,5720.161574
-0.033399,1,5729.724025
-0.146148,1,5739.344987
-0.025516,1,5749.619401
-0.099725,1,5754.121578
-0.050041,1,5764.694697
-0.113023,1,5773.889564
-0.009997,1,5785.244801
-0.026375,1,5794.159789
-0.131226,1,5806.50536
-0.054707,1,5815.404313
-0.032208,1,5823.47513
-0.079614,1,5835.883846
-0.060786,1,5849.400375
-0.109628,1,5857.823147
-0.038688,1,5871.99461
-0.019866,1,5880.928632
-0.109071,1,5889.459989
-0.076258,1,5898.518045
-0.04482,1,5909.273233
-0.028863,1,5919.611042
-0.088411,1,5930.427563
-0.05401,1,5938.994845
-0.002069,1,5953.46862
-0.040826,1,5963.41951
-0.053515,1,5971.856993
-0.079559,1,5980.904594
-0.076494,1,5992.575729
-0.067604,1,6001.296561
-0.065916,1,6010.508567
-0.087628,1,6019.838494
-0.029111,1,6029.106929
-0.149998,1,6036.881409
-0.030831,1,6047.409966
-0.100975,1,6057.063651
-0.023023,1,6067.991448
-0.040834,1,6080.361127
-0.115239,1,6091.14475
-0.02839,1,6104.537382
-0.020071,1,6114.310953
-0.001708,1,6126.020989
-0.029113,1,6134.077499
-0.005943,1,6142.325414
-0.050398,1,6151.116123
-0.036679,1,6163.728282
-0.038952,1,6173.373447
-0.038446,1,6188.282194
-0.009664,1,6196.20364
-0.034774,1,6205.046932
-0.136603,1,6219.675675
-0.113972,1,6228.109115
-0.090142,1,6238.437011
-0.064985,1,6249.717542
-0.006826,1,6262.446853
-0.121246,1,6274.564451
-0.078902,1,6284.824258
-0.125253,1,6295.372994
-0.057005,1,6306.9415
-0.084785,1,6317.944238
-0.013435,1,6333.456121
-0.126201,1,6345.359659
-0.149534,1,6352.528387
-0.087854,1,6363.601341
-0.142176,1,6374.587227
-0.014057,1,6385.689719
-0.049737,1,6394.801128
-0.15,1,6399.243824
-0.001168,1,6407.745034
-0.02597,1,6417.379643
-0.017519,1,6425.99314
-0.051447,1,6439.202682
-0.038731,1,6448.462431
-0.04602,1,6457.064635
-0.149999,1,6467.107933
-0.035527,1,6476.164634
-0.047914,1,6481.640244
-0.072827,1,6491.920807
-0.063742,1,6506.722661
-0.097607,1,6517.03887
-0.042154,1,6529.632748
-0.026413,1,6542.199977
-0.056583,1,6550.239641
-0.061915,1,6563.641009
-0.016496,1,6568.794455
-0.146351,1,6580.632324
-0.071797,1,6591.392392
-0.047892,1,6602.240209
-0.096763,1,6613.385323
-0.011186,1,6621.976286
-0.072762,1,6635.733986
-0.08713,1,6648.965384
-0.035077,1,6661.156717
-0.131477,1,6669.552157
-0.145521,1,6682.021597
-0.0737,1,6690.648591
-0.008588,1,6709.680928
-0.108302,1,6720.3135
-0.122883,1,6728.556257
-0.121373,1,6736.857946
-0.03304,1,6745.650284
-0.139828,1,6756.713088
-0.069176,1,6769.458339
-0.004094,1,6785.297497
-0.087325,1,6793.404956
-0.037795,1,6802.23857
-0.072796,1,6810.064369
-0.149999,1,6822.277805
-0.07494,1,6827.054884
-0.116098,1,6837.631498
-0.051536,1,6846.523098
-0.029071,1,6863.523493
-0.004889,1,6872.760321
-0.070094,1,6882.004077
-0.041527,1,6889.187219
-0.133473,1,6902.782732
-0.149999,1,6915.268398
-0.054041,1,6922.945354
-0.077137,1,6935.550697
-0.109948,1,6943.664963
-0.071358,1,6957.876432
-0.116883,1,6970.715088
-0.073041,1,6982.189736
-0.059828,1,6993.133613
-0.127408,1,7004.867129
-0.089305,1,7015.4865
-0.098734,1,7024.316281
-0.010539,1,7032.386908
-0.058896,1,7040.251895
-0.108339,1,7048.837304
-0.06692,1,7053.287083
-0.099405,1,7057.571389
-0.082409,1,7067.155998
-0.071137,1,7076.660252
-0.149997,1,7084.668596
-0.110332,1,7092.340886
-0.127478,1,7104.197203
-0.020844,1,7114.779111
-0.047155,1,7124.785042
-0.135447,1,7137.624044
-0.02447,1,7149.266402
-0.140785,1,7160.611425
-0.096769,1,7171.716611
-0.126133,1,7183.22677
-0.057506,1,7194.033077
-0.023046,1,7202.95561
-0.024315,1,7212.12628
-0.026893,1,7223.013067
-0.026388,1,7237.045227
-0.062488,1,7246.933858
-0.047403,1,7255.92863
-0.067584,1,7264.703854
-0.011737,1,7275.305908
-0.035815,1,7284.063976
-0.065285,1,7297.383747
-0.067864,1,7308.293404
-0.142081,1,7320.225219
-0.010133,1,7333.79636
-0.115284,1,7343.519279
-0.015274,1,7354.235271
-0.101892,1,7364.592273
-0.15,1,7372.739609
-0.06887,1,7384.070068
-0.068457,1,7394.551604
-0.090582,1,7405.379385
-0.05972,1,7417.01986
-0.057599,1,7430.486683
-0.097092,1,7442.386155
-0.124981,1,7451.139526
-0.043219,1,7459.509207
