#{"t_start": 1660571251.3926332, "env_id": "Pusher-v1"}
r,l,t
-0.082578,1,3343.679105
-0.181497,1,3359.710167
-0.140395,1,3371.679845
-0.134535,1,3385.542498
-0.19385,1,3406.584836
-0.148955,1,3422.268626
-0.086781,1,3434.409692
-0.090209,1,3450.802466
-0.245311,1,3463.725417
-0.059477,1,3476.135723
-0.207356,1,3490.928352
-0.146266,1,3505.663902
-0.221751,1,3517.750523
-0.135193,1,3530.026086
-0.128175,1,3540.887532
-0.156983,1,3563.068
-0.167738,1,3577.707004
-0.142913,1,3588.34745
-0.208145,1,3600.656507
-0.048297,1,3623.546036
-0.119265,1,3643.24639
-0.123316,1,3657.761807
-0.1941,1,3672.741665
-0.130177,1,3689.896546
-0.153931,1,3697.481306
-0.148436,1,3711.072806
-0.08376,1,3723.641424
-0.179454,1,3735.367546
-0.052294,1,3748.599079
-0.132935,1,3765.859097
-0.135648,1,3788.180148
-0.153113,1,3804.573709
-0.208349,1,3817.622043
-0.137337,1,3830.215042
-0.045936,1,3848.273873
-0.096301,1,3865.883403
-0.119588,1,3877.57851
-0.154568,1,3890.759968
-0.126108,1,3909.392944
-0.199304,1,3923.520883
-0.195808,1,3934.108948
-0.141414,1,3948.797229
-0.106981,1,3970.150661
-0.156145,1,3985.408633
-0.174591,1,3999.56434
-0.163956,1,4016.382028
-0.204762,1,4031.834972
-0.210853,1,4043.981455
-0.169159,1,4059.946555
-0.124155,1,4076.293402
-0.130818,1,4088.568518
-0.077096,1,4104.44348
-0.07721,1,4117.352939
-0.079954,1,4131.241912
-0.152461,1,4144.579786
-0.162688,1,4160.634053
-0.1238,1,4176.081331
-0.050534,1,4191.421692
-0.138913,1,4203.885923
-0.092579,1,4220.650484
-0.086089,1,4236.721036
-0.136722,1,4255.828468
-0.129711,1,4269.933232
-0.236842,1,4283.414716
-0.084097,1,4302.249678
-0.243485,1,4320.123339
-0.103643,1,4340.986583
-0.103853,1,4355.340425
-0.106829,1,4367.041322
-0.15276,1,4381.841809
-0.188816,1,4398.326184
-0.109447,1,4413.518631
-0.184157,1,4426.381285
-0.234898,1,4444.139352
-0.126249,1,4461.223823
-0.225934,1,4473.695885
-0.067279,1,4485.682568
-0.211084,1,4501.704879
-0.033966,1,4520.349638
-0.166992,1,4533.193732
-0.191718,1,4547.318275
-0.029904,1,4562.837161
-0.1771,1,4578.67939
-0.173729,1,4603.39173
-0.143914,1,4616.375115
-0.056822,1,4626.514451
-0.126079,1,4639.060145
-0.04374,1,4656.053123
-0.077869,1,4670.100818
-0.11623,1,4686.149378
-0.237622,1,4699.18469
-0.202078,1,4711.927418
-0.125655,1,4726.215133
-0.123456,1,4737.926762
-0.154652,1,4749.561727
-0.113984,1,4765.907985
-0.158868,1,4776.491354
-0.121047,1,4790.410733
-0.153463,1,4805.500357
-0.101896,1,4822.160584
-0.151945,1,4836.37189
-0.17859,1,4855.168396
-0.099553,1,4866.747093
-0.197644,1,4877.81842
-0.180194,1,4895.745956
-0.19207,1,4912.825042
-0.140052,1,4929.664715
-0.162669,1,4944.588812
-0.098706,1,4952.362112
-0.16013,1,4964.907289
-0.131115,1,4977.040007
-0.070055,1,4993.457574
-0.144237,1,5004.917008
-0.104034,1,5017.991179
-0.187091,1,5029.560508
-0.146457,1,5041.334796
-0.071419,1,5057.60926
-0.144201,1,5073.886819
-0.095451,1,5085.262704
-0.066456,1,5099.436287
-0.127467,1,5115.058245
-0.059774,1,5130.09435
-0.15653,1,5144.154503
-0.163154,1,5156.763811
-0.208818,1,5171.202869
-0.081085,1,5184.843246
-0.223789,1,5200.957468
-0.062882,1,5210.960945
-0.139299,1,5228.237729
-0.11454,1,5243.065616
-0.116142,1,5257.068043
